Method,trial_num,Bounds,Dimensions,Samples,Iterations,Function,Fitness_Value,Run_Time_Sec
Sobol,0,"[(-100, 100)]",10,1000,100,F62017,636.0330188548484,15.847041130065918
Sobol,0,"[(-100, 100)]",50,1000,100,F282017,491806536.7613084,148.14534497261047
HDS,0,"[(-100, 100)]",30,1000,100,F62017,1742.067689577154,16.372656106948853
HDS,0,"[(-100, 100)]",50,1000,100,F62017,63403.0239928871,17.058670043945312
HDS,0,"[(-100, 100)]",100,1000,100,F62017,1115745.7280834331,18.679930210113525
HDS,0,"[(-100, 100)]",10,1000,100,F72017,742.0149824623304,19.721331119537357
HDS,0,"[(-100, 100)]",30,1000,100,F72017,1102.2648512240837,20.12274408340454
Sobol,0,"[(-100, 100)]",30,1000,100,F62017,1343.4859227082284,16.03614592552185
HDS,0,"[(-100, 100)]",50,1000,100,F72017,1609.4522176241148,20.608186960220337
Sobol,0,"[(-100, 100)]",50,1000,100,F62017,70001.93312401707,16.331485986709595
HDS,0,"[(-100, 100)]",10,1000,100,F82017,802.4041418739616,0.8882851600646973
Sobol,0,"[(-100, 100)]",10,1000,100,F82017,800.4625355366009,0.6723721027374268
Sobol,0,"[(-100, 100)]",100,1000,100,F62017,823454.8043891847,17.47968888282776
HDS,0,"[(-100, 100)]",30,1000,100,F82017,808.7448983368465,3.95019006729126
Sobol,0,"[(-100, 100)]",10,1000,100,F72017,738.0,19.716788291931152
Sobol,0,"[(-100, 100)]",30,1000,100,F82017,810.2506897649818,3.679941892623901
HDS,0,"[(-100, 100)]",50,1000,100,F82017,816.3317814315795,10.734063148498535
Sobol,0,"[(-100, 100)]",30,1000,100,F72017,1127.2884669983036,19.777003049850464
Sobol,0,"[(-100, 100)]",50,1000,100,F72017,1705.3677598483864,20.394026041030884
HDS,0,"[(-100, 100)]",100,1000,100,F72017,3027.8322880582778,23.065063953399655
HDS,0,"[(-100, 100)]",100,1000,100,F82017,1030.8576015640692,18.639132738113403
HDS,0,"[(-100, 100)]",10,1000,100,F92017,-1142.7050820931136,20.133247137069706
Sobol,0,"[(-100, 100)]",50,1000,100,F82017,816.8165407604728,14.56269598007202
HDS,0,"[(-100, 100)]",30,1000,100,F92017,3101.5859065772056,20.02385711669922
HDS,0,"[(-100, 100)]",50,1000,100,F92017,9187.938467418013,20.668774127960205
Sobol,0,"[(-100, 100)]",100,1000,100,F72017,2915.323567729618,21.468333959579468
Sobol,0,"[(-100, 100)]",100,1000,100,F82017,880.5495382413015,16.760684728622437
Sobol,0,"[(-100, 100)]",10,1000,100,F92017,-463.93362808501934,19.34444808959961
HDS,0,"[(-100, 100)]",100,1000,100,F92017,25269.63970710806,23.042288303375244
Sobol,0,"[(-100, 100)]",30,1000,100,F92017,3222.050954517776,19.53960394859314
Sobol,0,"[(-100, 100)]",50,1000,100,F92017,8974.704355122525,20.25952196121216
HDS,1,"[(-100, 100)]",10,1000,100,F102017,1088.9002669821357,18.11005806922913
HDS,1,"[(-100, 100)]",30,1000,100,F102017,128448.68861113656,17.4931161403656
HDS,1,"[(-100, 100)]",50,1000,100,F102017,237690.83758162856,17.976311922073364
HDS,1,"[(-100, 100)]",100,1000,100,F102017,3502899.854020955,19.18600177764893
Sobol,0,"[(-100, 100)]",100,1000,100,F92017,25155.32344124919,22.149933099746704
Sobol,1,"[(-100, 100)]",10,1000,100,F102017,1026.611730494989,17.584754943847656
Sobol,1,"[(-100, 100)]",30,1000,100,F102017,90702.2577895106,17.096103191375732
Sobol,0,"[(-100, 100)]",100,1000,100,F292017,8430880397.076717,113.4688937664032
HDS,1,"[(-100, 100)]",10,1000,100,F112017,123271.28722753785,21.262211084365845
Sobol,1,"[(-100, 100)]",50,1000,100,F102017,263090.53333340626,17.474130153656006
HDS,1,"[(-100, 100)]",10,1000,100,F12017,8648.46207292645,13.592601299285889
Sobol,1,"[(-100, 100)]",100,1000,100,F102017,1643816.51220098,17.97585415840149
HDS,1,"[(-100, 100)]",30,1000,100,F112017,46514391.2413848,22.67407512664795
HDS,1,"[(-100, 100)]",30,1000,100,F12017,36158809.48633624,14.184669971466064
HDS,1,"[(-100, 100)]",50,1000,100,F112017,212675779.6881586,22.652081727981567
HDS,1,"[(-100, 100)]",100,1000,100,F112017,4121725774.217617,23.32072925567627
Sobol,1,"[(-100, 100)]",10,1000,100,F112017,306109.13891862705,21.0353000164032
Sobol,1,"[(-100, 100)]",10,1000,100,F12017,4237.075176344498,13.416261196136476
HDS,1,"[(-100, 100)]",50,1000,100,F12017,1888255205.112187,14.334128856658936
Sobol,1,"[(-100, 100)]",30,1000,100,F12017,80938356.51159285,14.14574694633484
HDS,1,"[(-100, 100)]",100,1000,100,F12017,8994903823.009659,15.545715808868408
Sobol,1,"[(-100, 100)]",30,1000,100,F112017,53507990.38230644,22.61050701141357
Sobol,1,"[(-100, 100)]",50,1000,100,F12017,2412600743.066698,13.583670139312744
Sobol,1,"[(-100, 100)]",50,1000,100,F112017,481198670.7417084,22.351155042648315
HDS,1,"[(-100, 100)]",10,1000,100,F122017,1321.6628696341943,18.11026096343994
Sobol,1,"[(-100, 100)]",100,1000,100,F112017,7000546264.464725,22.94829797744751
HDS,1,"[(-100, 100)]",30,1000,100,F122017,1498994.870910716,18.60971212387085
Sobol,1,"[(-100, 100)]",100,1000,100,F12017,50621156085.54263,14.47533392906189
HDS,1,"[(-100, 100)]",50,1000,100,F122017,50865790.642456405,19.92623805999756
HDS,1,"[(-100, 100)]",100,1000,100,F122017,4142351005.956223,20.06366205215454
HDS,1,"[(-100, 100)]",10,1000,100,F132017,1385.9594076051394,18.972869157791138
Sobol,1,"[(-100, 100)]",10,1000,100,F122017,2365.040725657685,17.5238299369812
HDS,1,"[(-100, 100)]",30,1000,100,F132017,303416.64589792467,19.35755014419556
Sobol,1,"[(-100, 100)]",30,1000,100,F122017,183634.5651970632,18.13365602493286
HDS,1,"[(-100, 100)]",50,1000,100,F132017,1296844.4569721862,21.51718688011169
Sobol,1,"[(-100, 100)]",100,1000,100,F122017,2643779454.184758,18.56832003593445
Sobol,1,"[(-100, 100)]",50,1000,100,F122017,142758383.75958446,19.131614923477173
Sobol,1,"[(-100, 100)]",10,1000,100,F132017,1377.2764456651462,18.78750896453857
Sobol,1,"[(-100, 100)]",30,1000,100,F132017,269065.8715041303,19.34396004676819
HDS,1,"[(-100, 100)]",100,1000,100,F132017,36497174.20397806,25.8155210018158
HDS,1,"[(-100, 100)]",10,1000,100,F142017,1743.7852808321193,18.17052698135376
Sobol,1,"[(-100, 100)]",50,1000,100,F132017,1596804.021173965,21.08842706680298
HDS,1,"[(-100, 100)]",30,1000,100,F142017,2460129.138714917,18.33611011505127
HDS,1,"[(-100, 100)]",50,1000,100,F142017,25680498.456667405,18.72895097732544
HDS,1,"[(-100, 100)]",100,1000,100,F142017,197120946.2129233,19.962160110473636
Sobol,1,"[(-100, 100)]",10,1000,100,F142017,2081.895912674708,17.935111045837402
HDS,1,"[(-100, 100)]",10,1000,100,F152017,1340.642917189074,25.38660502433777
Sobol,1,"[(-100, 100)]",100,1000,100,F132017,31287763.11874792,24.55311369895935
Sobol,1,"[(-100, 100)]",30,1000,100,F142017,786780.23887075,18.148138999938965
Sobol,1,"[(-100, 100)]",50,1000,100,F142017,2852180.3528853813,18.210144996643063
Sobol,1,"[(-100, 100)]",100,1000,100,F142017,1606167190.9740372,18.699798107147217
Sobol,1,"[(-100, 100)]",10,1000,100,F152017,1340.22571705379,15.79261589050293
HDS,1,"[(-100, 100)]",30,1000,100,F152017,1728.7316410478627,31.86700701713562
Sobol,0,"[(-100, 100)]",100,1000,100,F282017,21212922819.05542,249.3591811656952
HDS,1,"[(-100, 100)]",50,1000,100,F152017,6630.465053887595,36.82031679153442
HDS,1,"[(-100, 100)]",10,1000,100,F172017,,19.824907064437863
Sobol,1,"[(-100, 100)]",30,1000,100,F152017,4623.435861345257,30.984303951263428
HDS,1,"[(-100, 100)]",10,1000,100,F162017,1492.3363033807664,42.95392203330994
HDS,1,"[(-100, 100)]",100,1000,100,F152017,25629.85026078417,51.71174478530884
Sobol,1,"[(-100, 100)]",10,1000,100,F172017,,19.89809465408325
HDS,1,"[(-100, 100)]",30,1000,100,F172017,87000.02495946534,20.58956289291382
Sobol,1,"[(-100, 100)]",50,1000,100,F152017,11746.707176394895,36.19324207305908
HDS,1,"[(-100, 100)]",50,1000,100,F172017,1644204.9123086818,20.58415198326111
HDS,1,"[(-100, 100)]",30,1000,100,F162017,155830.15488806006,77.67448902130127
Sobol,1,"[(-100, 100)]",30,1000,100,F172017,133588.54409692457,20.416311979293823
HDS,1,"[(-100, 100)]",100,1000,100,F172017,11157212.63743275,21.69047784805298
Sobol,1,"[(-100, 100)]",10,1000,100,F162017,1500.6270338026166,42.71170592308045
Sobol,1,"[(-100, 100)]",50,1000,100,F172017,1057230.763181222,19.84716010093689
Sobol,1,"[(-100, 100)]",100,1000,100,F152017,99985.44111286386,50.76891803741455
HDS,1,"[(-100, 100)]",10,1000,100,F182017,1808.360261687363,20.13351798057556
Sobol,1,"[(-100, 100)]",100,1000,100,F172017,24193389.96111582,20.75444293022156
HDS,1,"[(-100, 100)]",50,1000,100,F162017,27913233.904253263,113.42933821678162
Sobol,1,"[(-100, 100)]",10,1000,100,F182017,1810.48116644394,19.6982479095459
HDS,1,"[(-100, 100)]",30,1000,100,F182017,104731.9252262019,44.33016991615296
HDS,1,"[(-100, 100)]",10,1000,100,F192017,1851.3585871318453,42.61655187606812
HDS,1,"[(-100, 100)]",50,1000,100,F182017,7514486.430972638,59.74397087097168
Sobol,1,"[(-100, 100)]",30,1000,100,F162017,183475.3207244392,77.67734718322754
Sobol,1,"[(-100, 100)]",30,1000,100,F182017,239723.60942915815,44.11414313316345
Sobol,1,"[(-100, 100)]",10,1000,100,F192017,1843.283848812872,42.49833917617798
HDS,1,"[(-100, 100)]",100,1000,100,F182017,1901127294.0001411,97.4636869430542
HDS,1,"[(-100, 100)]",10,1000,100,F202017,2133.979031934465,8.476075172424316
